Date,Value,Anomaly
199303,39.6,-1.6
199304,53.3,1.8
199305,65.6,3.4
199306,73.3,2.3
199307,80.1,3.7
199308,77.2,2.5
199309,67.3,-0.8
199310,55.9,-1.7
199311,48.8,2.1
199312,37.3,1.3
199401,25.5,-6.8
199402,30.6,-2.3
199403,40.7,-0.5
199404,55.6,4.1
199405,61.8,-0.4
199406,75.2,4.2
199407,79.4,3.0
199408,74.0,-0.7
199409,67.6,-0.5
199410,58.0,0.4
199411,51.9,5.2
199412,42.2,6.2
199501,37.5,5.2
199502,31.6,-1.3
199503,45.0,3.8
199504,51.9,0.4
199505,61.9,-0.3
199506,71.8,0.8
199507,79.1,2.7
199508,78.5,3.8
199509,68.3,0.2
199510,61.6,4.0
